item_id,title,date,publisher,fids,fnames
1011261,International station meteorological climate summary,1996,Federal Climate Complex Asheville,FID1858,30000050015381.iso
4219963,National geophysical data grids,1993,"U.S. Dept. of the Interior, U.S. Geological Survey",FID3507,30000077393076.iso
5064536,Research maps (R-maps),[1999-,"U.S. Department of Housing & Urban Development, Office of Policy Development & Research",FID3113|FID729,30000078841602.iso|30000079006494.iso
4944864,Twenty-first Space Simulation Conference,2000?],National Aeronautics and Space Administration,FID1406,30000078818519.iso
4278444,Common core of data (CCD),19uu,"National Center for Education Statistics, Office of Educational Research and Improvement, U.S. Dept. of Education",FID2683|FID3679|FID3923|FID601,30000044929218.iso|30000050583818.iso|30000060988106.iso|30000056085222.iso
4249288,"Whistleblower library and judges' benchbooks on alien labor certification, black lung & longshore",1994],"U.S. Dept. of Labor, Office of Administrative Law Judges",FID2173|FID2960,30000036885998_1.iso|30000036885998_2.iso
4886373,"OUP, building partnership, building futures",[2001?],"U.S. Dept. of Housing and Urban Development, Office of University Partnerships, Office of Policy Development and Research",FID3878,30000078181504.iso
4271331,1990 Census of population and housing,[1996-],"U.S. Dept. of Commerce, Bureau of the Census, Administrative and Customer Services Division",FID1482|FID668|FID141,30000044928871.iso|30000044929010.iso|30000044929028.iso
4911754,Asian Monsoon and Data Assimilation,[2000?],NASA Goddard Flight Center,FID866,30000078177700.iso
4298169,Animations for petroleum systems,1999,"U.S. Dept. of the Interior, U.S. Geological Survey",FID304,30000077392086.iso
4910250,Engineering weather data,2000,National Climatic Data Center,FID3651,30000078832940.iso
4275109,Harmonized tariff schedule of the United States,199u,U.S. G.P.O,FID3091|FID2429|FID210|FID953|FID1810|FID3197|FID3734|FID887|FID881|FID1216|FID3826|FID3846|FID1452|FID266|FID2446,30000050015332.iso|30000047643378.iso|30000047649573.iso|30000048829612.iso|30000048834034.iso|30000056047594.iso|30000056083243.iso|30000056104619.iso|30000056101748.iso|30000053421768.iso|32000000477903.iso|30000053759084.iso|30000053529297.iso|30000096144625.iso|30000096176668.iso
4299409,"Public Law 94-171 redistricting data, 1998",[1999],"U.S. Dept. of Commerce, Bureau of the Census",FID278,30000061247361.iso
1026370,Welcome to the planets,[1995?],NASA,FID3373,30000050015514.iso
4940767,Forest Service roadless area conservation,[2000],Forest Service,FID3415,30000078911579.iso
4288249,Compton Observatory,[1997?],"Compton Observatory Science Support Center, NASA's Goddard Space Flight Center",FID2722,30000050442122.iso
7303912,Operation Deep Freeze,[2006],"Office of History, Air Mobility Command",FID3425,30000116477641.iso
4273349,1992 economic census,[1996],"U.S. Dept. of Commerce, Bureau of the Census, Administrative and Customer Services Division",FID31,30000044896078.iso
4277343,Asia Pacific commerce,[1996-,U.S. Dept. of Commerce/The Commercial Service,FID2352|FID1429,30000044929242.iso|30000061426692.iso
5013153,Hot mix asphalt pavement evaluation and rehabilitation,[2001],"U.S. Dept. of Transportation, Federal Highway Administration",FID3390,30000076093917.iso
5633797,Census 2000 summary file 3 (SF3),[2002],U.S. Census Bureau,FID3871,30000088036318.iso
6568961,Smart growth shareware,[2005],Smart Growth America,FID3793,30000109184907.iso
4239839,1990 census of population and housing,[1994],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID2482,30000038688648.iso
4287592,Maury collection,[1998],National Oceanographic and Atomspheric Administration,FID1574,30000056959038.iso
4243831,1990 census of population and housing,[1994],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID2834,30000036885444.iso
3723161,Engineering trade-offs program,[2000],"U.S. Environmental Protection Agency, Office of Research and Development",FID1796,30000078833005.iso
4257764,NED/SIPS,[1995],The Station,FID2148|FID2087,30000102583667.img|30000102583683.img
5026330,I-Beam IAQ building education and assessment model,[2001],"U.S. Environmental Protection Agency, Office of Air and Radiation",FID1997,30000116221676.iso
2865935,Resource disk 2000,2000,The Office,FID2065,30000061377598.iso
